Month,hurs,pr,r20mm,rx5day,hd35,rx1day,tasmax,cdd
1970-09,86.92,308.41,3.16,96.69,0.0,38.16,29.17,1.04
1970-10,87.62,300.84,3.08,95.01,0.01,35.45,29.03,1.41
1970-11,88.74,278.96,1.77,77.59,0.0,25.67,28.51,0.88
1970-12,88.17,310.37,3.21,130.81,0.0,51.27,28.18,1.88
1971-01,86.96,304.23,3.67,183.97,0.0,58.26,27.26,4.15
1971-02,86.44,272.59,2.92,98.62,0.04,38.19,27.88,3.41
1971-03,84.51,161.85,0.77,64.62,0.02,24.81,28.86,2.92
1971-04,82.21,122.77,0.48,50.08,0.43,17.29,30.05,4.47
1971-05,86.14,230.7,1.11,65.09,0.03,23.9,29.78,1.61
1971-06,85.18,159.85,0.58,54.0,0.02,18.93,29.55,2.81
1971-07,84.0,140.74,0.48,49.52,0.01,18.1,29.69,3.81
1971-08,87.17,316.48,3.49,96.63,0.0,37.59,28.7,1.38
1971-09,86.02,256.96,2.36,88.11,0.01,39.97,29.39,1.56
1971-10,86.1,252.71,2.1,81.61,0.03,30.57,29.07,4.67
1971-11,87.66,256.66,1.84,75.49,0.0,27.3,28.32,1.11
1971-12,89.18,320.97,2.69,95.67,0.0,34.96,27.62,0.87
1972-01,83.73,133.89,0.65,53.42,0.0,19.66,27.87,5.73
1972-02,84.83,181.34,1.35,71.02,0.02,29.03,28.79,3.44
1972-03,83.36,160.09,0.99,62.28,0.09,25.49,29.03,4.39
1972-04,86.05,231.43,1.34,70.35,0.0,22.52,29.56,0.95
1972-05,85.98,198.72,0.97,61.57,0.02,22.18,29.98,1.56
1972-06,85.64,190.83,1.52,86.36,0.0,40.4,29.6,3.51
1972-07,82.31,86.9,0.1,31.84,0.02,12.57,30.38,6.59
1972-08,84.76,220.21,1.2,62.09,0.06,21.38,29.86,1.5
1972-09,86.9,296.64,2.68,91.45,0.0,36.2,29.31,1.12
1972-10,86.35,266.1,2.13,78.21,0.02,27.15,29.69,1.33
1972-11,87.25,278.21,2.17,77.58,0.01,29.94,29.31,1.24
1972-12,88.3,257.31,1.98,84.04,0.0,28.83,28.26,1.42
1973-01,83.63,164.05,1.34,71.34,0.03,30.2,28.88,6.63
1973-02,80.41,121.3,1.0,51.9,0.43,19.05,30.05,6.44
1973-03,82.39,220.03,2.27,74.63,0.52,36.91,30.19,4.72
1973-04,86.25,283.44,2.9,95.55,0.07,41.24,30.1,1.12
1973-05,87.26,276.95,1.83,79.67,0.05,31.22,29.8,1.08
1973-06,86.15,244.39,2.17,85.62,0.07,39.98,29.92,4.36
1973-07,83.96,164.48,1.17,78.79,0.12,25.31,29.99,4.49
1973-08,85.04,223.51,2.0,82.95,0.04,31.02,29.56,2.76
