Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1971-12,106.55,0.75,0.01,-0.18,2.93,6.34,73.48,46.4
1972-01,139.68,1.52,0.21,-1.41,1.9,5.35,75.24,58.29
1972-02,148.59,2.11,0.28,-2.17,0.87,4.09,73.68,64.52
1972-03,135.27,1.62,0.14,1.0,4.42,8.11,71.81,57.35
1972-04,170.15,2.39,0.28,6.35,9.81,13.53,73.89,61.97
1972-05,170.39,2.46,0.32,10.9,14.41,18.27,74.23,79.59
1972-06,270.46,4.03,1.2,15.38,18.35,21.78,79.88,96.05
1972-07,350.91,5.1,1.85,19.83,22.31,25.26,83.83,189.81
1972-08,241.69,3.04,0.72,20.2,23.19,26.71,81.75,96.19
1972-09,276.87,4.16,1.38,15.96,19.12,22.71,79.88,154.24
1972-10,129.77,1.63,0.03,10.79,14.26,18.2,75.33,54.91
1972-11,181.38,2.49,0.28,4.61,7.66,11.04,74.78,67.1
1972-12,127.37,1.29,0.24,0.12,3.07,6.49,76.67,60.55
1973-01,130.67,1.64,0.03,-1.49,1.44,4.62,75.54,43.7
1973-02,92.21,0.41,0.0,-1.42,1.75,5.19,72.52,39.32
1973-03,79.28,0.29,0.0,-0.5,2.82,6.36,68.8,30.95
1973-04,173.25,2.85,0.29,7.18,10.79,14.78,72.31,62.11
1973-05,156.52,2.11,0.42,10.54,14.11,18.08,71.78,58.68
1973-06,155.51,1.82,0.32,14.73,17.55,20.81,81.21,76.99
1973-07,117.98,1.28,0.23,20.02,22.91,26.39,80.61,74.18
1973-08,186.72,2.15,0.36,21.44,24.34,27.82,82.09,89.47
1973-09,235.16,3.38,0.62,16.21,19.12,22.59,80.62,87.8
1973-10,158.69,2.17,0.39,10.1,13.39,17.12,75.79,66.76
1973-11,104.82,0.96,0.07,3.63,6.93,10.65,71.98,44.62
1973-12,79.85,0.19,0.0,-2.07,0.95,4.39,70.72,22.74
1974-01,74.48,0.58,0.0,-3.35,-0.48,2.86,69.74,35.12
1974-02,97.67,0.76,0.0,-3.14,0.07,3.4,72.58,42.98
1974-03,115.35,0.94,0.01,-0.43,2.76,6.17,71.04,46.73
1974-04,177.05,2.32,0.54,6.11,9.6,13.58,71.41,74.09
1974-05,125.38,1.81,0.13,11.04,14.66,18.67,71.86,51.6
1974-06,205.9,3.46,0.56,14.98,17.91,21.22,80.17,89.99
