Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1965-11,122.26,0.56,0.02,84.22,22.47,24.6,0.0,48.35
1965-12,109.45,0.63,0.03,82.55,21.96,24.02,0.0,41.07
1966-01,80.78,0.38,0.01,80.47,21.36,23.67,0.0,37.09
1966-02,58.57,0.2,0.03,78.55,21.52,24.08,0.0,26.39
1966-03,60.65,0.24,0.01,76.66,22.06,24.83,0.28,27.49
1966-04,66.34,0.23,0.01,75.18,23.18,26.05,1.23,27.03
1966-05,300.44,3.72,0.91,82.21,23.44,25.61,0.34,147.64
1966-06,151.41,0.86,0.03,82.34,23.23,25.62,0.04,54.87
1966-07,287.5,3.42,0.38,83.96,23.19,25.24,0.15,94.85
1966-08,177.39,1.43,0.05,82.91,23.25,25.45,0.24,73.46
1966-09,163.42,1.42,0.1,82.86,23.06,25.15,0.07,68.92
1966-10,163.06,0.84,0.05,83.04,22.68,24.88,0.0,53.03
1966-11,236.77,1.97,0.54,85.31,22.64,24.56,0.0,109.04
1966-12,195.59,1.71,0.51,85.29,22.22,24.12,0.0,91.15
1967-01,165.58,1.81,0.2,82.32,21.19,23.51,0.0,75.99
1967-02,94.18,0.69,0.04,80.42,20.98,23.49,0.0,39.87
1967-03,97.28,1.02,0.04,79.08,21.29,24.19,0.16,59.5
1967-04,86.34,0.51,0.1,77.31,22.54,25.72,0.7,44.04
1967-05,120.49,0.66,0.01,78.09,23.38,26.43,1.63,53.63
1967-06,191.36,2.17,0.37,81.13,23.43,26.04,0.65,89.79
1967-07,182.05,1.4,0.08,82.82,23.43,25.71,0.42,66.79
1967-08,231.18,2.15,0.34,83.72,23.41,25.71,0.11,81.75
1967-09,154.54,1.0,0.06,83.71,23.01,25.54,0.04,63.66
1967-10,219.3,1.48,0.47,84.05,22.65,25.06,0.01,124.0
1967-11,172.55,1.27,0.64,82.6,22.1,24.63,0.0,113.02
1967-12,91.14,0.5,0.03,81.19,21.22,23.7,0.0,34.91
1968-01,138.02,1.45,0.26,81.37,21.21,23.56,0.0,62.92
1968-02,75.42,0.34,0.01,79.92,20.74,23.46,0.0,29.55
1968-03,56.31,0.12,0.0,78.15,21.93,24.99,0.55,21.61
1968-04,57.16,0.07,0.0,74.65,22.41,25.78,0.66,27.81
1968-05,94.8,0.44,0.04,77.25,23.56,26.68,1.49,33.88
1968-06,137.58,0.96,0.02,78.87,23.55,26.53,0.91,51.88
1968-07,214.46,1.97,0.38,81.43,23.67,26.28,0.7,101.38
1968-08,278.2,3.36,0.46,83.95,23.57,25.83,0.17,102.49
1968-09,240.0,2.21,0.47,83.25,23.28,25.78,0.34,113.94
1968-10,127.37,0.68,0.04,81.8,22.46,25.08,0.02,59.21
1968-11,118.89,1.2,0.4,79.8,21.6,24.34,0.04,60.05
1968-12,127.57,1.1,0.18,81.97,21.51,23.93,0.0,57.94
1969-01,55.89,0.21,0.01,80.2,21.34,24.18,0.02,26.74
1969-02,31.92,0.06,0.0,76.02,21.0,24.34,0.14,15.93
1969-03,61.85,0.49,0.02,75.2,22.27,25.58,0.66,32.32
1969-04,106.66,0.92,0.2,75.79,23.14,26.39,1.6,61.1
1969-05,135.32,0.65,0.03,79.53,24.05,27.03,2.18,44.84
1969-06,254.93,2.65,0.29,82.85,23.87,26.4,0.93,93.8
1969-07,354.19,4.63,0.71,84.63,23.29,25.66,0.52,125.98
1969-08,194.81,1.8,0.21,83.72,23.03,25.77,0.15,91.31
1969-09,279.12,3.21,0.33,84.96,23.31,25.61,0.18,96.35
1969-10,148.08,0.69,0.09,82.85,22.84,25.59,0.04,65.37
1969-11,159.81,1.26,0.08,82.94,22.3,24.79,0.02,64.13
1969-12,177.89,1.54,0.16,84.29,22.29,24.53,0.01,60.35
1970-01,103.32,0.51,0.06,82.79,21.63,24.19,0.03,46.58
1970-02,103.65,0.91,0.18,79.94,21.74,24.4,0.07,46.46
1970-03,109.13,0.99,0.08,79.02,22.51,25.45,0.34,51.3
1970-04,70.88,0.34,0.03,77.24,23.26,26.42,1.09,30.72
1970-05,136.95,0.77,0.02,78.93,23.86,26.87,1.54,44.04
1970-06,322.91,3.86,0.37,84.2,23.63,26.16,0.61,118.86
