Month,pr,r20mm,r50mm,hurs,tasmax,tas,hd35,rx5day
1966-08,327.48,3.55,0.41,88.15,28.66,24.36,0.0,104.59
1966-09,258.57,2.06,0.21,87.01,28.93,24.41,0.0,92.52
1966-10,369.64,3.94,0.24,89.88,28.02,23.9,0.0,101.04
1966-11,321.23,2.96,0.23,89.92,27.92,23.84,0.0,101.02
1966-12,325.92,2.89,0.31,90.08,27.55,23.61,0.0,99.06
1967-01,268.98,2.55,0.55,87.62,27.56,23.51,0.0,113.46
1967-02,230.54,3.16,0.55,84.72,27.89,23.73,0.01,103.11
1967-03,182.59,1.85,0.1,84.29,28.82,24.22,0.25,81.92
1967-04,229.85,1.53,0.07,86.08,29.58,24.67,0.05,72.3
1967-05,279.28,2.87,0.09,87.89,29.22,24.89,0.0,88.44
1967-06,199.21,1.83,0.29,85.77,29.36,24.91,0.01,96.62
1967-07,160.08,1.0,0.13,84.88,29.41,24.72,0.0,65.02
1967-08,148.92,0.39,0.01,83.8,29.76,24.89,0.0,46.43
1967-09,240.68,1.74,0.12,85.88,29.27,24.51,0.0,78.49
1967-10,255.99,1.67,0.05,87.22,28.81,24.21,0.0,74.96
1967-11,352.07,3.43,0.31,89.5,27.92,23.84,0.0,109.97
1967-12,220.76,2.11,0.23,86.65,27.58,23.67,0.0,80.88
1968-01,171.07,1.65,0.3,84.5,27.62,23.6,0.04,95.11
1968-02,80.35,0.56,0.0,78.07,29.14,24.16,0.38,43.43
1968-03,294.32,3.53,0.38,84.58,29.15,24.49,0.28,97.89
1968-04,213.51,1.67,0.11,84.6,29.66,24.83,0.12,78.17
1968-05,229.77,1.15,0.01,86.88,29.64,24.94,0.01,64.51
1968-06,227.34,1.69,0.08,86.62,29.51,24.91,0.0,70.37
1968-07,198.93,1.12,0.06,86.14,29.36,24.74,0.0,65.25
1968-08,150.49,0.46,0.02,84.88,29.66,25.01,0.02,51.36
1968-09,228.61,2.05,0.06,85.79,29.41,24.71,0.0,84.1
1968-10,325.46,2.96,0.19,88.48,28.72,24.27,0.0,102.54
1968-11,250.65,2.24,0.23,87.2,28.55,24.14,0.0,103.17
